Title,Movie Rating,Year,Gross Income in millions (USD),Movie Genre,Movie Runtime,IMDb Rating,Votes,Budget in millions (USD),Profit percent
3 Backyards,R,2010,22.53,Drama,88,5.1,51491.0,0.3,-100.0
3 Days to Kill,PG-13,2014,30.7,"Action,Drama,Thriller",117,6.2,89820.0,28.0,9.64285714285714
3 Days to Kill,PG-13,2014,30.7,"Action,Drama,Thriller",117,6.2,89832.0,28.0,9.64285714285714
3 Ninjas Kick Back,PG,1994,11.78,"Action,Comedy,Family",93,4.6,8789.0,20.0,-41.1
3 Ninjas Kick Back,PG,1994,11.78,"Action,Comedy,Family",93,4.6,8800.0,20.0,-41.1
3 Strikes,R,2000,9.82,Comedy,82,4.8,3334.0,4.0,145.5
3 Strikes,R,2000,9.82,Comedy,82,4.8,3346.0,4.0,145.5
30 Days of Night,R,2007,39.57,"Action,Horror,Thriller",113,6.6,168235.0,30.0,31.900000000000002
30 Days of Night,R,2007,39.57,"Action,Horror,Thriller",113,6.6,168269.0,30.0,31.900000000000002
30 Minutes or Less,R,2011,37.05,"Action,Comedy,Crime",83,6.1,96602.0,28.0,32.32142857142856
30 Minutes or Less,R,2011,37.05,"Action,Comedy,Crime",83,6.1,96622.0,28.0,32.32142857142856
300,R,2006,210.61,"Action,Drama",117,7.6,750704.0,60.0,251.0166666666667
300,R,2006,210.61,"Action,Drama",117,7.6,750805.0,60.0,251.0166666666667
3000 Miles to Graceland,R,2001,15.74,"Action,Comedy,Crime",125,6.0,44930.0,62.0,-74.61290322580645
3000 Miles to Graceland,R,2001,15.74,"Action,Comedy,Crime",125,6.0,44941.0,62.0,-74.61290322580645
300: Rise of an Empire,R,2014,106.58,"Action,Drama",102,6.2,286258.0,110.0,-3.1090909090909107
300: Rise of an Empire,R,2014,106.58,"Action,Drama",102,6.2,286288.0,110.0,-3.1090909090909107
31,R,2016,0.78,"Horror,Thriller",102,5.1,19125.0,1.5,-48.0
31,R,2016,0.78,"Horror,Thriller",102,5.1,19134.0,1.5,-48.0
3:10 to Yuma,R,2007,53.61,"Action,Crime,Drama",122,7.7,295302.0,48.0,11.6875
3:10 to Yuma,R,2007,53.61,"Action,Crime,Drama",122,7.7,295348.0,48.0,11.6875
40 Days and 40 Nights,R,2002,37.95,"Comedy,Romance",96,5.6,71843.0,17.0,123.23529411764707
40 Days and 40 Nights,R,2002,37.95,"Comedy,Romance",96,5.6,71860.0,17.0,123.23529411764707
40 Weeks,PG-13,2014,22.53,Documentary,111,8.8,51491.0,0.9,-100.0
40 Weeks,PG-13,2014,22.53,Documentary,111,8.8,51491.0,0.9,-100.0
42,PG-13,2013,95.0,"Biography,Drama,Sport",128,7.5,89211.0,31.0,206.4516129032258
42,PG-13,2013,95.0,"Biography,Drama,Sport",128,7.5,89227.0,31.0,206.4516129032258
47 Ronin,PG-13,2013,38.36,"Action,Drama,Fantasy",128,6.3,152285.0,175.0,-78.08
